date,blood_group,forecast_units,horizon_day,model_used
2026-09-05,A,444.9,1,XGBoost
2026-09-06,A,653.0,2,XGBoost
2026-09-07,A,286.1,3,XGBoost
2026-09-08,A,346.4,4,XGBoost
2026-09-09,A,349.0,5,XGBoost
2026-09-10,A,375.5,6,XGBoost
2026-09-11,A,247.0,7,XGBoost
2026-09-05,AB,75.2,1,GradientBoosting
2026-09-06,AB,132.3,2,GradientBoosting
2026-09-07,AB,55.4,3,GradientBoosting
2026-09-08,AB,74.4,4,GradientBoosting
2026-09-09,AB,76.1,5,GradientBoosting
2026-09-10,AB,76.3,6,GradientBoosting
2026-09-11,AB,56.0,7,GradientBoosting
2026-09-05,B,513.5,1,XGBoost
2026-09-06,B,724.5,2,XGBoost
2026-09-07,B,306.3,3,XGBoost
2026-09-08,B,401.0,4,XGBoost
2026-09-09,B,405.6,5,XGBoost
2026-09-10,B,428.3,6,XGBoost
2026-09-11,B,268.7,7,XGBoost
2026-09-05,O,795.3,1,RandomForest
2026-09-06,O,1181.0,2,RandomForest
2026-09-07,O,445.3,3,RandomForest
2026-09-08,O,568.3,4,RandomForest
2026-09-09,O,606.2,5,RandomForest
2026-09-10,O,656.1,6,RandomForest
2026-09-11,O,416.5,7,RandomForest
